,train_acc,test_acc
0,0.64986,0.9529
1,0.96308,0.9732
2,0.97428,0.9764
3,0.97844,0.9804
4,0.98242,0.9834
5,0.9849,0.9795
6,0.9866,0.9823
7,0.98738,0.9848
8,0.98866,0.9843
9,0.98958,0.9867
10,0.98982,0.9875
11,0.98998,0.9827
12,0.99126,0.9882
13,0.99124,0.9876
14,0.99222,0.9861
15,0.99242,0.9884
16,0.99218,0.9879
17,0.99246,0.9883
18,0.9934,0.9874
19,0.99322,0.9882
20,0.99308,0.9883
21,0.99372,0.9881
22,0.99344,0.9886
23,0.99392,0.9888
24,0.99472,0.9901
25,0.99442,0.99
26,0.99398,0.9891
27,0.99376,0.99
28,0.99442,0.9895
29,0.9944,0.9911
30,0.99458,0.9893
31,0.99468,0.9904
32,0.99478,0.9885
33,0.99488,0.9895
34,0.99506,0.9893
35,0.99496,0.9883
36,0.99538,0.991
37,0.99614,0.9921
38,0.99524,0.9912
39,0.99556,0.9904
40,0.99544,0.9913
41,0.99518,0.9899
42,0.9958,0.9916
43,0.99594,0.9901
44,0.9957,0.99
45,0.9955,0.9909
46,0.9956,0.9915
47,0.99576,0.9893
48,0.99518,0.9912
49,0.99596,0.9919
50,0.99684,0.9921
51,0.99686,0.993
52,0.99724,0.9928
53,0.99682,0.9929
54,0.99728,0.9936
55,0.99742,0.9929
56,0.99764,0.9932
57,0.99718,0.9919
58,0.99766,0.9946
59,0.99762,0.9935
60,0.99786,0.9935
61,0.9974,0.9931
62,0.99798,0.9925
63,0.99782,0.9933
64,0.99794,0.9913
65,0.99788,0.993
66,0.99732,0.9932
67,0.99782,0.9925
68,0.99786,0.994
69,0.99746,0.9933
70,0.99724,0.9931
71,0.9977,0.9929
72,0.99778,0.9936
73,0.99746,0.9924
74,0.9978,0.9929
75,0.99796,0.9931
76,0.99818,0.9939
77,0.9976,0.9934
78,0.99786,0.9937
79,0.99804,0.993
80,0.99794,0.9939
81,0.99808,0.9944
82,0.99782,0.9945
83,0.99774,0.9933
84,0.9981,0.9932
85,0.99812,0.9939
86,0.99828,0.9937
87,0.99796,0.9925
88,0.9979,0.9929
89,0.998,0.9931
90,0.9981,0.9939
91,0.99822,0.9931
92,0.99816,0.9942
93,0.99816,0.9936
94,0.99792,0.9944
95,0.99798,0.9937
96,0.99758,0.9932
97,0.99804,0.9936
98,0.9984,0.9924
99,0.99802,0.9947
