,train_acc,test_acc
0,0.76426,0.8945
1,0.91046,0.9293
2,0.93362,0.9383
3,0.94298,0.9504
4,0.9518,0.9521
5,0.95586,0.9511
6,0.96044,0.9612
7,0.96302,0.9649
8,0.96504,0.9658
9,0.96814,0.9666
10,0.96952,0.9632
11,0.9714,0.9679
12,0.97254,0.9666
13,0.97384,0.9702
14,0.9757,0.9706
15,0.97602,0.971
16,0.97718,0.972
17,0.9776,0.9731
18,0.97846,0.9744
19,0.97876,0.9744
20,0.98044,0.976
21,0.98068,0.9762
22,0.98034,0.9709
23,0.98064,0.9745
24,0.98146,0.9774
25,0.98244,0.9781
26,0.98292,0.977
27,0.98296,0.9777
28,0.98298,0.9784
29,0.98384,0.9773
30,0.98372,0.9779
31,0.98404,0.9782
32,0.98518,0.98
33,0.98534,0.9792
34,0.98516,0.9749
35,0.98556,0.9777
36,0.98472,0.9786
37,0.98582,0.9807
38,0.9859,0.978
39,0.98636,0.9788
40,0.98616,0.9805
41,0.98642,0.9792
42,0.98686,0.9789
43,0.9869,0.9794
44,0.987,0.9793
45,0.9874,0.979
46,0.98674,0.9803
47,0.98722,0.9786
48,0.98708,0.9805
49,0.98742,0.9816
50,0.99006,0.9839
51,0.99064,0.9831
52,0.99046,0.9834
53,0.99182,0.9835
54,0.99036,0.9854
55,0.99096,0.9836
56,0.99166,0.9823
57,0.99138,0.9844
58,0.9912,0.9836
59,0.99168,0.9834
60,0.9912,0.9828
61,0.99142,0.9846
62,0.99146,0.9811
63,0.99094,0.9842
64,0.99154,0.9834
65,0.99172,0.9845
66,0.99096,0.9841
67,0.99244,0.9848
68,0.99204,0.9849
69,0.99222,0.9845
70,0.99194,0.9849
71,0.99106,0.9838
72,0.99172,0.9866
73,0.9919,0.9838
74,0.99178,0.9853
75,0.9914,0.985
76,0.99196,0.9856
77,0.99256,0.9846
78,0.99248,0.9853
79,0.99228,0.984
80,0.99262,0.9852
81,0.9924,0.9843
82,0.99252,0.9851
83,0.99214,0.9849
84,0.9915,0.9842
85,0.9919,0.9848
86,0.9923,0.9843
87,0.99216,0.9853
88,0.99238,0.9852
89,0.99276,0.986
90,0.99264,0.9852
91,0.99218,0.9858
92,0.99228,0.9856
93,0.99242,0.9834
94,0.99246,0.9851
95,0.9918,0.9845
96,0.99234,0.9851
97,0.99244,0.9838
98,0.993,0.9838
99,0.99244,0.9848
